#########################
# NPM module: package.json
#########################
"License","Count"
"(MIT OR Apache-2.0)","1"
"(MIT OR CC0-1.0)","5"
"(MIT OR GPL-3.0-or-later)","1"
"0BSD","1"
"Apache-2.0","146"
"BSD*","1"
"BSD-2-Clause","16"
"BSD-3-Clause","23"
"CC-BY-3.0","1"
"CC-BY-4.0","1"
"CC0-1.0","2"
"ISC","66"
"MIT","598"
"MIT-0","1"
"Python-2.0","1"
#########################
# Python module: Pipfile
#########################
"License","Count"
"Apache Software License","6"
"Apache Software License; BSD License","2"
"BSD License","3"
"BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License","1"
"MIT License","11"
"Mozilla Public License 2.0 (MPL 2.0)","1"
